공연명,날짜,장소,장소링크,설명,이미지URL,상태,순서
장장 페스티벌,2025-08-30,신논현 펄스 라이브홀,https://naver.me/G4WoE9X7,기타를 처음 배우기 위해 모인 우리가 2년이라는 시간을 거쳐 만들어낸 첫 번째 공연.,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=1200&h=600&fit=crop&crop=center,예정,1
넥슨 밴드 3분기 공연,2025-07-15,압구정 락교 라이브펍,https://www.nexon.com,넥슨에서 주최하는 특별한 밴드 공연. 3분기 마무리를 위한 특별한 무대를 준비했습니다.,https://images.unsplash.com/photo-1516280440614-37939bbacd81?w=800&h=400&fit=crop&crop=center,예정,2 
